reason_for_recall,reason_lower,reason_cat,n
Product may contain undeclared milk.,product may contain undeclared milk.,Undeclared allergen,619
"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .","on 02/03/2023, fresh ideation food group, llc dba fresh creative cuisine of baltimore, md is  initiating a recall of  various products sold from january 24, 2023 through january 30, 2023 because the products have the potential to be contaminated with listeria monocytogenes .",Bacterial pathogen contamination,408
Products not manufactured under GMP's,products not manufactured under gmp's,Regulatory / GMP / Process deviation,353
Product may be contaminated with Listeria monocytogenes.,product may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,330
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,Other / Unspecified,330
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes.,Bacterial pathogen contamination,286
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","garden-fresh foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,276
The recalled products are potentially contaminated with Listeria monocytogenes.,the recalled products are potentially contaminated with listeria monocytogenes.,Bacterial pathogen contamination,213
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,shipping container from ca to hi was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Spoilage / Quality defect,199
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.","garden-fresh foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to november 06, 2013  because they may be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,197
Products may contain Salmonella,products may contain salmonella,Bacterial pathogen contamination,196
Products may be contaminated with Listeria monocytogenes.,products may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,181
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","sunland, inc. is conducting a voluntary limited recall of its almond, peanut, and cashew butter products and tahini and roasted blanched peanut products, manufactured between may 1, 2010 and september 24, 2012, because these products may be contaminated with salmonella.",Undeclared allergen,180
Products may be contaminated with  Listeria monocytogenes.,products may be contaminated with  listeria monocytogenes.,Bacterial pathogen contamination,172
potential to be contaminated with Listeria monocytogenes,potential to be contaminated with listeria monocytogenes,Bacterial pathogen contamination,169
Listeria monocytogenes,listeria monocytogenes,Bacterial pathogen contamination,163
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.","pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since april 2, 2014, hire a cgmp expert and receive written permission from fda to resume operations.",Regulatory / GMP / Process deviation,163
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,health one pharmaceuticals is recalling dietary supplements due to significant violations of the cgmp regulations for dietary supplements.,Regulatory / GMP / Process deviation,147
Possible contamination with Listeria monocytogenes,possible contamination with listeria monocytogenes,Bacterial pathogen contamination,136
Potential Listeria monocytogenes contamination.,potential listeria monocytogenes contamination.,Bacterial pathogen contamination,123
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,the recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with listeria monocytogenes,Bacterial pathogen contamination,115
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121","bread, muffin, and brownie mixes may have been manufactured with flour contaminated with e. coli o121",Bacterial pathogen contamination,114
Potential Salmonella contamination.,potential salmonella contamination.,Bacterial pathogen contamination,110
"Pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.","pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.",Chemical contamination / Toxins / Adulteration,104
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","the firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  because the holding temperature could affect food safety, this food could be unsafe for consumption.",Other / Unspecified,100
Potential contamination with Salmonella,potential contamination with salmonella,Bacterial pathogen contamination,98
The product has the potential to be contaminated with Listeria monocytogenes.,the product has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,94
Product has the potential to be contaminated with Salmonella.,product has the potential to be contaminated with salmonella.,Bacterial pathogen contamination,94
"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","recalled salads, slaw, salsa, bean and dips contained onions that were recalled by gills onions due to potential listeria monocytogenes contamination.",Bacterial pathogen contamination,94
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.","ready to eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from cyclospora.",Other / Unspecified,92
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Other / Unspecified,88
"River Ranch was notified that two separate samples of products pulled by the FDA which were produced by River Ranch, tested positive for Listeria monocytogenes.","river ranch was notified that two separate samples of products pulled by the fda which were produced by river ranch, tested positive for listeria monocytogenes.",Bacterial pathogen contamination,87
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo","during an fda inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for listeria monocytogenes (l.m.), listeria innocua (l.i.) or listeria seeligeri (l.s.).  the firm is voluntarily recalling all products manufactured from august 20th to september 10th 2012 due to the possible contamination.  all lots with sell by dates on or befo",Bacterial pathogen contamination,81
May contain small metal fragments from wire mesh sifter.,may contain small metal fragments from wire mesh sifter.,Foreign material,81
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.","the dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of gmps.",Undeclared allergen,79
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.","during an fda inspection the firm was notified that their bulk product lacked labels. due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. the products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",Undeclared allergen,78
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,findings and potential for cronobacter sakazakii and clostridium botulinum.,Bacterial pathogen contamination,77
Potential Listeria monocytogenes,potential listeria monocytogenes,Bacterial pathogen contamination,76
Potential contamination with Salmonella Thompson,potential contamination with salmonella thompson,Bacterial pathogen contamination,73
During an FDA investigation the firm was notified that the product contains undeclared milk.,during an fda investigation the firm was notified that the product contains undeclared milk.,Undeclared allergen,73
Product has potential to be contaminated with Listeria monocytogenes,product has potential to be contaminated with listeria monocytogenes,Bacterial pathogen contamination,72
"Salmonella Newport. Product contains onion supplied from Thomson International, Inc.","salmonella newport. product contains onion supplied from thomson international, inc.",Bacterial pathogen contamination,71
Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,Other / Unspecified,70
Elevated brand ice cream products are being recalled due to the potential to be contaminated with Listeria monocytogenes.  These products contain ice cream mix produced and recalled by Snoqualmie Gourmet Ice Cream,elevated brand ice cream products are being recalled due to the potential to be contaminated with listeria monocytogenes.  these products contain ice cream mix produced and recalled by snoqualmie gourmet ice cream,Bacterial pathogen contamination,69
Recall required by Order of Permanent Injunction. The products are misbranded and deemed unapproved drugs based on labeling claims.,recall required by order of permanent injunction. the products are misbranded and deemed unapproved drugs based on labeling claims.,Labeling / Misbranding (non-allergen),68
Undeclared milk,undeclared milk,Undeclared allergen,67
Product may be contaminated with Salmonella.,product may be contaminated with salmonella.,Bacterial pathogen contamination,67
potential Allergen cross contact in oil used to roast various nuts and seeds products.,potential allergen cross contact in oil used to roast various nuts and seeds products.,Undeclared allergen,66
potential Salmonella,potential salmonella,Bacterial pathogen contamination,65
Listeria contamination due to various GMP violations. possible.,listeria contamination due to various gmp violations. possible.,Bacterial pathogen contamination,65
"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.","during an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for listeria monocytogenes and salmonella; confirmation was not conducted.",Bacterial pathogen contamination,63
Product may contain undeclared peanuts.,product may contain undeclared peanuts.,Undeclared allergen,63
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,Foreign material,62
Products recalled due to undeclared allergen -milk,products recalled due to undeclared allergen -milk,Undeclared allergen,60
CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,cfia notified fda of positive result for listeria monocytogenes with various best by dates of sweet kale salad blend.,Bacterial pathogen contamination,58
Products have the potential to be contaminated with Salmonella.,products have the potential to be contaminated with salmonella.,Bacterial pathogen contamination,58
"Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.","garden-fresh foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to november 06, 2013 because they may be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,58
Product contains foreign material (nylon string),product contains foreign material (nylon string),Foreign material,58
Product has the potential to be contaminated with Listeria monocytogenes.,product has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,57
Potentially contaminated with Listeria monocytogenes,potentially contaminated with listeria monocytogenes,Bacterial pathogen contamination,57
Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,harvest equipment used in harvesting raw iceberg lettuce was tested by  dole and found to contain listeria monocytogenes.,Bacterial pathogen contamination,55
TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes.,Bacterial pathogen contamination,55
Foreign material: pieces of a pen (writing utensil).,foreign material: pieces of a pen (writing utensil).,Foreign material,54
Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (pfoa) and perluorooctanesulfonic acid (pfos).  the observed pfos and pfoa levels exceed epa's 2016 combined lifetime health advisory levels for drinking water (70 parts per trillion [ppt]).,Chemical contamination / Toxins / Adulteration,54
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.","fda environmental sampling found 21 of 50 positive for listeria monocytogenes, 11 of these on food contact surfaces.",Bacterial pathogen contamination,53
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,greek yogurt product chobani brand is recalled due to report of illnesses and product bloated and swollen.,Packaging / Container defect,52
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,some flour and flour blends produced at dakota specialty milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,Foreign material,52
"Contamination with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, Listeria infection can cause miscarriages and stillbirt","contamination with listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, listeria infection can cause miscarriages and stillbirt",Bacterial pathogen contamination,52
Potential contamination with Listeria monocytogenes,potential contamination with listeria monocytogenes,Bacterial pathogen contamination,51
Potential Salmonella Contamination,potential salmonella contamination,Bacterial pathogen contamination,51
Listeria monocytogenes found on food contact surfaces and non-food contact surfaces.,listeria monocytogenes found on food contact surfaces and non-food contact surfaces.,Bacterial pathogen contamination,51
